,number,ruleID,attribute_426,attribute_427,attribute_428,attribute_429,attribute_430,attribute_431,attribute_432,attribute_433,attribute_434,attribute_435,attribute_436,attribute_437,attribute_438,attribute_439,attribute_440,attribute_441,attribute_442,attribute_443,attribute_444,attribute_445,attribute_446,attribute_447,attribute_448,attribute_449,attribute_450,attribute_451,attribute_452,attribute_453,attribute_454,attribute_455,attribute_456,attribute_457,attribute_458,attribute_459
0,1.0,1878.0,5000.0,,,,,,,,,,,,3.0,0.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
1,2.0,1879.0,5000.0,,,,,,,,,,,,3.0,2.0,2.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
2,3.0,1880.0,,5000.0,,,,,,,,,,,3.0,2.0,0.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
3,4.0,1881.0,,5000.0,,,,,,,,,,,3.0,0.0,4.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
4,5.0,1882.0,,5000.0,,,,,,,,,,,3.0,0.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
5,6.0,1883.0,,5000.0,,,,,,,,,,,3.0,2.0,1.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
6,7.0,1884.0,,,5000.0,,,,,,,,,,3.0,1.0,0.0,6.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
7,8.0,1885.0,,,5000.0,,,,,,,,,,3.0,1.0,1.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
8,9.0,1886.0,,,5000.0,,,,,,,,,,3.0,1.0,3.0,1.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
9,10.0,1887.0,,,5000.0,,,,,,,,,,3.0,1.0,4.0,5.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
10,11.0,1888.0,,,5000.0,,,,,,,,,,3.0,1.0,1.0,0.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
11,12.0,1889.0,,,5000.0,,,,,,,,,,3.0,1.0,0.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
12,13.0,1890.0,,,5000.0,,,,,,,,,,3.0,1.0,3.0,2.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
13,14.0,1891.0,,,5000.0,,,,,,,,,,3.0,1.0,4.0,4.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
14,15.0,1892.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,1.0,7.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
15,16.0,1893.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,6.0,6.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
16,17.0,1894.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,5.0,8.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
17,18.0,1895.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,0.0,1.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
18,19.0,1896.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,4.0,1.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
19,20.0,1897.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,2.0,1.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
20,21.0,1898.0,,,,5000.0,,,,,,,,,3.0,1.0,2.0,1.0,5.0,,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,3.0,3.0,3.0,2.0
